"Državni dolg po: KAZALNIK , LETO"

" ";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Dolg sektorja država - % BDP (%)";25.9;26.1;27.3;26.7;26.8;26.3;26.0;22.8;21.8;34.6;38.4;46.6;53.9;71.0;80.9;83.1

"Vir: Statistièni urad Republike Slovenije. "
" "
"Podrobnejši podatki o dolgu sektorja država so objavljeni na SI-STAT "
"podatkovnem portalu v podroèju (seznam "
"HREF=http://pxweb.stat.si/pxweb/Database/Ekonomsko/03_nacionalni_racu-"
"ni/25_03149_racuni_drzave/25_03149_racuni_drzave.asp TARGET=_blank)  "
"Nacionalni raèuni – Raèuni države."

